Código do fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,Dividend Yield,DY (3M) Acumulado,DY (6M) Acumulado,DY (12M) Acumulado,DY (3M) Média,DY (6M) Média,DY (12M) Média,DY Ano,Variação Preço,Rentab. Período,Rentab. Acumulada,Patrimônio Líq.,VPA,P/VPA,DY Patrimonial,Variação Patrimonial,Rentab. Patr. no Período,Rentab. Patr. Acumulada,Vacância Física,Vacância Financeira,Quantidade Ativos
TORD11,Outros,5.48,86648,0.05,0.93,2.57,5.12,11.45,0.86,0.85,0.95,0.93,0.00,0.93,0.93,490440876.72,13.99,0.39,0.36,0.00,0.36,0.36,,,0
BLMG11,Logística,67.94,6577,0.79,1.15,3.29,6.08,11.90,1.10,1.01,0.99,1.15,0.00,1.15,1.15,361649669.40,94.91,0.72,0.83,0.00,0.83,0.83,0.00,0.00,4
BCFF11,Títulos e Val Mob,63.17,35447,0.56,0.89,2.58,4.96,9.96,0.86,0.83,0.83,0.89,0.00,0.89,0.89,1903260829.67,75.57,0.84,0.74,-3.03,-2.31,1.30,,,0
GCRA11,Híbrido,95.69,6183,1.22,1.28,3.80,7.39,0.00,1.27,1.23,0.00,1.28,0.00,1.28,1.28,17164899.62,98.04,0.98,1.24,0.00,1.24,1.24,,,0
FAED11,Outros,146.92,137,1.64,1.15,3.28,6.28,12.61,1.09,1.05,1.05,1.15,0.00,1.15,1.15,13975248.22,217.63,0.68,,,,,0.00,,3
RELG11,Híbrido,70.79,564,0.70,0.99,3.20,5.43,12.18,1.07,0.90,1.02,0.99,0.00,0.99,0.99,162678938.67,121.90,0.58,0.57,0.00,0.57,0.57,10.40,10.40,3
QIRI11,Títulos e Val Mob,78.04,39,89.64,114.86,116.71,119.51,123.94,38.90,19.92,10.33,121.86,1.48,118.05,99.75,13441852.95,89.61,0.87,,,,,,,0
BRCR11,Híbrido,56.59,22040,0.47,0.86,2.50,4.69,9.07,0.83,0.78,0.76,0.86,0.00,0.86,0.86,267322814.44,100.35,0.56,0.50,0.15,0.65,-1.63,21.00,25.80,15
SEQR11,Outros,60.26,3254,0.69,1.15,3.33,6.34,12.19,1.11,1.06,1.02,1.15,0.00,1.15,1.15,150393845.51,93.50,0.64,0.74,0.00,0.74,0.74,0.00,,0
DVFF11,Híbrido,68.51,175,0.70,1.04,3.35,6.18,12.42,1.12,1.03,1.03,1.04,0.00,1.04,1.04,100294718.52,91.10,0.75,,,,,,,0
RECR11,Títulos e Val Mob,83.70,52891,0.99,1.15,3.04,5.06,12.98,1.01,0.84,1.08,1.15,0.00,1.15,1.15,2520797688.65,95.33,0.88,1.04,0.00,1.04,1.04,,,0
HCTR11,Outros,80.59,212712,1.00,1.05,3.24,6.41,14.35,1.08,1.07,1.20,1.05,0.00,1.05,1.05,2662283878.50,120.55,0.67,0.83,0.00,0.83,0.83,,,0
CEOC11,Lajes Corporativas,53.52,1718,0.65,1.18,3.17,5.65,10.58,1.06,0.94,0.88,1.18,0.00,1.18,1.18,14385334.17,78.80,0.68,,,,,0.00,,1
MGFF11,Títulos e Val Mob,54.62,8800,0.54,1.01,2.80,5.28,10.86,0.93,0.88,0.91,1.01,0.00,1.01,1.01,655755708.91,72.45,0.75,0.73,-6.10,-5.41,-2.96,,,0
VSLH11,Outros,7.60,214854,0.11,1.49,3.49,7.23,14.42,1.16,1.21,1.20,1.49,0.00,1.49,1.49,31354506.69,10.48,0.73,1.05,0.00,1.05,1.05,,,0
CXCI11,,77.34,564,0.83,1.11,3.29,6.31,0.00,1.10,1.05,0.00,1.11,0.00,1.11,1.11,186974571.02,90.86,0.85,0.91,0.00,0.91,0.91,,,0
MAXR11,Outros,63.00,810,0.32,0.54,2.36,4.84,9.32,0.79,0.81,0.78,0.54,0.00,0.54,0.54,13922535.82,123.50,0.51,0.26,0.00,0.26,0.26,2.80,,8
DEVA11,Títulos e Val Mob,78.20,273136,1.10,1.26,3.47,5.72,13.90,1.16,0.95,1.16,1.26,0.00,1.26,1.26,1420869973.77,101.17,0.77,1.09,0.00,1.09,1.09,,,0
RBRP11,Outros,45.19,11735,0.27,0.58,1.67,3.72,8.16,0.56,0.62,0.68,0.58,0.00,0.58,0.58,951532894.45,78.13,0.58,0.35,0.00,0.35,0.35,13.00,6.00,17
AGRX11,,10.70,1473,0.16,1.56,3.49,0.00,0.00,1.16,0.00,0.00,1.56,0.00,1.56,1.56,,,,,,,,,,0
DCRA11,,9.18,20854,0.12,1.33,3.95,3.95,0.00,1.32,0.66,0.00,1.33,0.00,1.33,1.33,,,,,,,,,,0
EGAF11,,101.62,4370,1.47,1.45,0.00,0.00,0.00,0.00,0.00,0.00,1.45,0.00,1.45,1.45,,,,,,,,,,0
RCRB11,Lajes Corporativas,114.85,2606,0.73,0.65,1.88,3.44,6.51,0.63,0.57,0.54,0.65,0.00,0.65,0.65,769415100.83,208.47,0.55,0.35,0.00,0.35,0.35,28.40,,10
BLCA11,Lajes Corporativas,115.00,15,0.57,0.66,1.89,3.67,6.26,0.63,0.61,0.52,0.66,0.00,0.66,0.66,228125530.48,142.58,0.81,0.40,0.00,0.40,0.40,0.00,,1
CPFF11,Híbrido,59.84,2735,0.37,0.65,2.46,4.92,10.11,0.82,0.82,0.84,0.65,0.00,0.65,0.65,42946317.49,78.73,0.76,0.76,-2.56,-1.82,6.71,,,0
RVBI11,Títulos e Val Mob,70.47,4476,0.75,1.07,3.11,5.97,11.79,1.04,1.00,0.98,1.07,0.00,1.07,1.07,11877561.25,82.48,0.85,0.91,0.00,0.91,0.91,,,0
SNAG11,,100.80,9780,1.20,1.19,3.55,0.00,0.00,1.18,0.00,0.00,1.19,0.00,1.19,1.19,302916557.87,100.97,1.00,1.19,0.00,1.19,1.19,,,0
CVBI11,Títulos e Val Mob,90.34,17276,1.10,1.24,3.28,5.54,13.00,1.09,0.92,1.08,1.24,0.00,1.24,1.24,133955309.88,93.91,0.96,1.17,0.00,1.17,1.17,,,0
IRDM11,Títulos e Val Mob,89.71,68072,0.95,1.04,2.77,5.62,12.81,0.92,0.94,1.07,1.04,0.00,1.04,1.04,3389714938.91,93.04,0.96,0.75,-1.77,-1.03,3.28,,,0
RBRY11,Títulos e Val Mob,95.50,12302,1.15,1.21,3.45,6.63,14.09,1.15,1.11,1.17,1.21,0.00,1.21,1.21,553436918.69,99.78,0.96,1.15,0.00,1.15,1.15,,,0
GAME11,Híbrido,8.67,22351,0.10,1.15,3.40,6.58,14.59,1.13,1.10,1.22,1.15,0.00,1.15,1.15,213370670.49,9.83,0.88,,,,,,,0
IBCR11,Títulos e Val Mob,76.90,726,0.90,1.20,2.97,6.62,15.03,0.99,1.10,1.25,1.20,0.00,1.20,1.20,91539316.32,95.51,0.81,0.84,-0.91,-0.08,9.49,,,0
KEVE11,Residencial,990.02,1,3.05,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.00,0.32,0.32,13782140.88,928.11,1.07,0.33,0.00,0.33,0.33,,,0
SCPF11,Shoppings,5.26,912,0.05,0.91,1.85,2.52,3.98,0.62,0.42,0.33,0.91,0.00,0.91,0.91,4980141.51,11.69,0.45,0.40,0.00,0.40,0.40,29.30,,1
DRIT11B,Lajes Corporativas,86.00,8,0.54,0.53,1.95,4.09,6.40,0.65,0.68,0.53,0.53,0.00,0.53,0.53,61319180.53,132.36,0.65,,,,,10.47,,6
BRIP11,Híbrido,1150.00,4,107.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,201153616.78,974.23,1.18,10.98,0.00,10.98,10.98,,,0
RBRL11,Logística,73.60,7975,0.65,0.91,2.49,4.60,9.07,0.83,0.77,0.76,0.91,0.00,0.91,0.91,709284653.49,106.07,0.69,0.61,0.00,0.61,0.61,0.00,0.00,6
FGAA11,,9.92,165876,0.14,1.42,4.24,4.24,0.00,1.41,0.71,0.00,1.42,0.00,1.42,1.42,,,,,,,,,,0
IRIM11,Híbrido,91.01,436,1.02,1.12,2.87,5.76,14.36,0.96,0.96,1.20,1.12,0.00,1.12,1.12,186681888.44,97.23,0.94,0.74,-1.35,-0.62,2.72,,,0
RBRF11,Títulos e Val Mob,66.85,22574,0.63,0.96,2.80,5.25,10.44,0.93,0.88,0.87,0.96,0.00,0.96,0.96,1130629129.06,82.64,0.81,0.76,-4.16,-3.43,0.80,,,0
CPTR11,,98.82,18940,1.45,1.50,4.40,4.40,0.00,1.47,0.73,0.00,1.50,0.00,1.50,1.50,408344526.08,98.68,1.00,1.42,0.00,1.42,1.42,,,0
CPTS11,Títulos e Val Mob,78.81,70509,0.75,0.98,2.18,5.47,12.54,0.73,0.91,1.04,0.98,0.00,0.98,0.98,2858127870.96,89.93,0.88,0.41,-1.83,-1.42,1.66,,,0
MCHF11,Títulos e Val Mob,8.95,158118,0.10,1.16,3.50,7.05,14.01,1.17,1.18,1.17,1.16,0.00,1.16,1.16,302861569.80,9.37,0.96,1.17,-1.49,-0.33,0.21,,,0
VGIR11,Títulos e Val Mob,9.76,489191,0.13,1.36,3.81,7.73,15.08,1.27,1.29,1.26,1.36,0.00,1.36,1.36,993272195.20,9.62,1.01,1.35,-0.20,1.15,-89.14,,,0
MGHT11,Hotel,60.03,764,0.80,1.36,3.68,6.90,13.50,1.23,1.15,1.12,1.36,0.00,1.36,1.36,112466978.44,85.61,0.70,0.76,-0.45,0.30,-6.08,,,0
TRNT11,Lajes Corporativas,109.00,247,0.40,0.32,1.01,1.76,3.95,0.34,0.29,0.33,0.32,0.00,0.32,0.32,774860922.43,196.89,0.55,,,,,49.90,,1
VGIP11,Outros,83.25,16802,0.80,0.99,2.49,4.61,12.95,0.83,0.77,1.08,0.99,0.00,0.99,0.99,168757358.59,90.67,0.92,0.50,-1.78,-1.29,8.00,,,0
MCCI11,Títulos e Val Mob,84.86,42321,0.95,1.12,3.59,6.99,13.35,1.20,1.17,1.11,1.12,0.00,1.12,1.12,1348562788.74,92.40,0.92,1.19,-2.01,-0.85,3.25,,,0
VGIA11,Títulos e Val Mob,9.77,708647,0.15,1.53,4.45,9.00,17.71,1.48,1.50,1.48,1.53,0.00,1.53,1.53,696376367.76,9.53,1.03,1.47,0.13,1.60,8.14,,,0
HCRI11,Hospital,237.71,116,2.51,1.10,3.74,6.46,11.10,1.25,1.08,0.93,1.10,0.00,1.10,1.10,61592370.00,307.96,0.77,,,,,0.00,,1
BRLA11,Híbrido,138.85,6,1.09,0.76,2.27,14.91,18.53,0.76,2.48,1.54,0.76,0.00,0.76,0.76,426827499.46,157.77,0.88,0.69,0.04,0.74,-8.63,,,0
OURE11,Títulos e Val Mob,72.05,1990,1.00,1.35,3.84,7.71,15.18,1.28,1.28,1.27,1.35,0.00,1.35,1.35,9749798.76,90.52,0.80,1.10,0.00,1.10,1.10,,,0
RECX11,Outros,64.77,23,0.70,1.09,2.78,6.00,11.81,0.93,1.00,0.98,1.09,0.00,1.09,1.09,1759567.76,78.14,0.83,,,,,,,0
OUFF11,Títulos e Val Mob,61.68,1028,0.70,1.11,3.30,6.51,13.16,1.10,1.08,1.10,1.11,0.00,1.11,1.11,13375275.39,73.72,0.84,0.95,0.00,0.95,0.95,,,0
GCFF11,Títulos e Val Mob,68.42,1398,0.70,1.01,3.03,6.13,12.41,1.01,1.02,1.03,1.01,0.00,1.01,1.01,26903483.90,79.46,0.86,0.88,0.00,0.88,0.88,,,0
