Código do fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,Dividend Yield,DY (3M) Acumulado,DY (6M) Acumulado,DY (12M) Acumulado,DY (3M) Média,DY (6M) Média,DY (12M) Média,DY Ano,Variação Preço,Rentab. Período,Rentab. Acumulada,Patrimônio Líq.,VPA,P/VPA,DY Patrimonial,Variação Patrimonial,Rentab. Patr. no Período,Rentab. Patr. Acumulada,Vacância Física,Vacância Financeira,Quantidade Ativos
KNCR11,Títulos e Val Mob,98.81,92243,1.00,1.01,3.43,6.84,13.45,1.14,1.14,1.12,2.22,0.23,1.24,2.47,5752156652.13,100.74,0.98,1.19,0.00,1.19,1.19,,,0
VLOL11,Lajes Corporativas,92.77,3184,0.61,0.64,1.89,3.63,7.14,0.63,0.61,0.59,1.27,-3.05,-2.42,-1.81,198706747.67,111.33,0.83,0.55,0.00,0.55,0.55,0.00,,1
JSAF11,Títulos e Val Mob,78.00,4886,0.93,1.16,3.42,6.60,13.25,1.14,1.10,1.10,2.32,-0.40,0.76,1.93,14445967.64,91.83,0.85,1.01,0.00,1.01,1.01,,,0
SHPH11,Shoppings,652.00,249,3.40,0.52,1.44,2.79,5.58,0.48,0.46,0.46,0.98,-10.88,-10.42,-10.01,544508819.31,894.18,0.73,,,,,10.80,,1
RURA11,,10.44,96911,0.11,1.05,3.36,4.42,0.00,1.12,0.74,0.00,2.00,0.86,1.92,2.89,,,,,,,,,,0
RBED11,Outros,122.10,552,1.26,1.03,3.15,6.01,11.72,1.05,1.00,0.98,2.08,2.07,3.12,4.20,333340143.36,144.32,0.85,0.87,0.00,0.87,0.87,0.00,,5
HABT11,Títulos e Val Mob,87.15,18848,1.20,1.37,3.97,7.06,14.39,1.32,1.18,1.20,2.67,-3.76,-2.44,-1.17,810671378.92,99.75,0.87,1.18,0.00,1.18,1.18,,,0
CXAG11,Outros,76.29,949,0.75,0.97,3.17,6.01,12.01,1.06,1.00,1.00,1.93,0.25,1.21,2.19,239776557.58,114.69,0.67,0.65,0.00,0.65,0.65,,,0
XPHT11,Hotel,102.01,8,1.10,1.05,3.69,7.80,10.10,1.23,1.30,0.84,2.17,-5.41,-4.41,-3.34,358486293.56,94.22,1.08,,,,,64.90,,5
XPLG11,Logística,91.65,38488,0.74,0.79,2.35,4.47,8.69,0.78,0.74,0.72,1.60,2.83,3.64,4.49,398182791.95,114.32,0.80,0.65,0.00,0.65,0.65,8.80,1.20,13
RZAG11,Títulos e Val Mob,9.56,168165,0.12,1.25,3.74,7.50,15.00,1.25,1.25,1.25,2.50,1.14,2.41,3.69,662243738.74,9.73,0.98,,,,,,,0
KINP11,Residencial,9.36,3934,0.20,1.91,7.09,12.94,26.25,2.36,2.16,2.19,5.02,14.11,16.29,19.90,28595790.20,4.00,2.34,6.99,0.00,6.99,6.99,,,0
HTMX11,Hotel,104.75,1630,0.63,0.59,2.37,5.08,7.27,0.79,0.85,0.61,1.24,-6.70,-6.15,-5.54,211128423.78,140.35,0.75,,,,,65.00,,23
VCRR11,Residencial,69.03,1586,0.67,0.96,2.82,5.46,10.91,0.94,0.91,0.91,1.91,-2.39,-1.45,-0.52,256508987.83,128.25,0.54,0.52,0.00,0.52,0.52,,,0
URPR11,Outros,97.20,34168,1.30,1.31,3.74,7.28,16.53,1.25,1.21,1.38,2.55,-1.90,-0.61,0.62,1156551277.20,99.06,0.98,1.26,0.00,1.26,1.26,,,0
HUSC11,Outros,99.40,9,0.85,0.83,2.49,4.10,9.70,0.83,0.68,0.81,1.66,-2.25,-1.44,-0.62,116621564.53,146.77,0.68,0.59,0.00,0.59,0.59,,,0
NEWL11,Híbrido,100.06,969,0.93,0.93,3.20,5.91,12.00,1.07,0.99,1.00,1.86,1.02,1.95,2.91,244177290.35,120.10,0.83,0.77,0.00,0.77,0.77,0.00,,2
JPPA11,Títulos e Val Mob,101.14,1555,1.40,1.36,4.04,8.27,18.71,1.35,1.38,1.56,2.70,-1.54,-0.20,1.14,88456979.33,97.85,1.03,1.43,0.00,1.43,1.43,,,0
BICR11,Títulos e Val Mob,100.57,5,0.72,0.73,2.28,5.05,9.77,0.76,0.84,0.81,1.53,0.34,1.07,1.89,49727672.72,99.46,1.01,0.72,0.08,0.80,1.61,,,0
EVBI11,Híbrido,93.90,90,0.75,0.80,2.39,4.68,9.37,0.80,0.78,0.78,1.60,0.00,0.80,1.60,16754672.37,99.84,0.94,0.75,0.00,0.75,0.75,0.00,,4
LGCP11,Logística,74.67,2695,0.60,0.78,2.32,4.54,9.15,0.77,0.76,0.76,1.57,-1.62,-0.86,-0.07,280850190.46,102.77,0.73,0.58,-0.01,0.57,1.18,0.50,,5
FIIP11B,Logística,139.86,1375,1.35,0.94,2.77,5.36,10.30,0.92,0.89,0.86,1.86,-1.70,-0.78,0.14,172719505.49,186.29,0.75,0.72,0.00,0.72,0.72,0.00,,7
HSML11,Shoppings,79.50,25158,0.74,0.94,2.67,5.03,9.69,0.89,0.84,0.81,1.81,-1.51,-0.59,0.28,1521256135.18,96.40,0.82,0.73,0.00,0.73,0.73,4.50,,6
EDFO11B,Lajes Corporativas,200.00,5,1.67,0.84,2.52,5.08,9.76,0.84,0.85,0.81,1.69,0.50,1.34,2.21,42629769.94,180.63,1.11,0.94,0.00,0.94,0.94,7.10,,1
PORD11,Títulos e Val Mob,86.20,4574,1.05,1.19,3.42,6.51,15.28,1.14,1.09,1.27,2.42,-3.84,-2.69,-1.50,363550200.18,97.51,0.88,1.15,0.00,1.15,1.15,,,0
BRCO11,Logística,92.90,29481,0.62,0.66,1.97,3.93,7.93,0.66,0.66,0.66,1.31,-3.06,-2.41,-1.78,1794750559.87,121.44,0.76,0.51,0.00,0.51,0.51,0.00,0.00,10
VINO11,Lajes Corporativas,44.10,17733,0.31,0.73,2.16,4.21,8.49,0.72,0.70,0.71,1.44,-3.60,-2.90,-2.21,907780630.41,54.80,0.80,0.57,0.00,0.57,0.57,4.20,,9
PQDP11,Shoppings,205.00,31,17.34,0.84,2.13,4.53,8.97,0.71,0.75,0.75,1.35,0.74,1.59,2.10,813718968.26,3314.36,0.60,0.50,0.07,0.57,1.70,3.60,,1
BBFI11B,Lajes Corporativas,245.00,107,27.08,1.30,3.96,8.18,16.58,1.32,1.36,1.38,2.59,-0.43,0.87,2.16,37112402.95,2854.80,0.72,0.93,0.12,1.06,6.06,39.11,,2
BBIM11,Títulos e Val Mob,,,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,30913214.77,29.87,,0.50,0.00,0.50,0.50,,,0
BCIA11,Títulos e Val Mob,82.00,2983,0.78,0.95,2.76,5.31,10.45,0.92,0.88,0.87,1.86,-1.80,-0.86,0.04,360458463.59,96.92,0.85,0.80,-0.60,0.20,0.98,,,0
CBOP11,Lajes Corporativas,41.51,589,0.12,0.28,2.71,5.33,11.00,0.90,0.89,0.92,0.54,-6.39,-6.13,-5.89,104523734.87,73.87,0.56,0.16,0.00,0.16,0.16,33.59,30.79,1
RBHY11,Títulos e Val Mob,94.00,604,1.20,1.26,3.73,7.63,16.10,1.24,1.27,1.34,2.49,-1.53,-0.29,0.94,179305483.98,94.70,0.99,1.27,0.00,1.27,1.27,,,0
PATL11,Híbrido,61.25,10229,0.60,0.96,2.64,4.88,9.44,0.88,0.81,0.79,1.81,-8.12,-7.24,-6.44,489269975.99,98.02,0.62,0.59,0.00,0.59,0.59,0.00,0.00,4
CXCE11B,Outros,39.85,192,0.41,1.03,3.00,6.09,11.45,1.00,1.01,0.95,2.03,-1.58,-0.56,0.43,112388124.70,65.61,0.61,0.63,0.01,0.64,0.64,0.00,,1
HGBS11,Shoppings,178.23,8750,1.40,0.77,2.27,4.30,8.44,0.76,0.72,0.70,1.53,-1.29,-0.53,0.22,2213923649.27,221.39,0.81,0.63,0.00,0.63,0.63,6.50,,17
BBGO11,Títulos e Val Mob,77.91,9768,0.87,1.09,3.32,6.39,11.02,1.11,1.06,0.92,2.17,-1.18,-0.10,0.98,392409748.89,97.98,0.80,0.89,0.00,0.89,0.89,,,0
FIIB11,Híbrido,435.80,696,3.25,0.73,2.33,4.65,9.14,0.78,0.78,0.76,1.45,-1.55,-0.83,-0.12,315429737.15,460.48,0.95,0.71,0.00,0.71,0.71,6.28,,1
PQAG11,Logística,52.00,79,0.44,0.83,2.44,4.80,9.09,0.81,0.80,0.76,1.65,-1.83,-1.02,-0.21,800863763.13,57.24,0.91,0.77,0.00,0.77,0.77,0.00,,1
VCJR11,Títulos e Val Mob,89.00,30956,0.95,1.07,3.37,4.28,11.85,1.12,0.71,0.99,2.27,-2.08,-1.03,0.15,1389190344.58,94.35,0.94,1.14,0.00,1.14,1.14,,,0
FVPQ11,Shoppings,98.09,155,0.62,0.63,2.90,4.06,7.83,0.97,0.68,0.65,1.86,-2.27,-1.65,-0.45,536125450.99,191.46,0.51,0.65,0.00,0.65,0.65,5.50,,1
HGCR11,Títulos e Val Mob,101.94,26127,1.20,1.18,3.53,7.07,13.84,1.18,1.18,1.15,2.35,-0.66,0.51,1.69,1551733628.04,100.64,1.01,1.19,0.00,1.19,1.19,,,0
VIFI11,Títulos e Val Mob,6.80,3776,0.07,0.96,2.83,5.25,10.40,0.94,0.88,0.87,1.90,-2.02,-1.08,-0.15,69794791.27,8.63,0.79,0.75,0.00,0.75,0.75,,,0
MXRF11,Híbrido,10.25,578281,0.12,1.17,3.25,6.01,12.64,1.08,1.00,1.05,2.26,0.79,1.97,3.08,2284497771.46,10.11,1.01,,,,,,,0
KNCA11,Títulos e Val Mob,105.42,19155,1.08,1.01,3.50,7.43,14.66,1.17,1.24,1.22,2.19,-2.79,-1.80,-0.64,1439269215.09,102.08,1.03,1.27,0.00,1.27,1.27,,,0
KISU11,Títulos e Val Mob,8.00,101929,0.08,0.94,2.98,5.70,11.45,0.99,0.95,0.95,1.87,-1.85,-0.93,-0.01,375784403.68,8.50,0.94,0.88,0.00,0.88,0.88,,,0
HPDP11,Shoppings,71.01,59,0.45,0.64,1.65,3.60,6.85,0.55,0.60,0.57,1.22,-8.29,-7.70,-7.16,259220664.37,89.12,0.80,0.50,0.00,0.50,0.50,2.00,,1
NVHO11,Hospital,11.29,6,0.08,0.77,2.37,4.78,8.94,0.79,0.80,0.74,1.53,-2.27,-1.52,-0.77,579233139.26,13.96,0.81,0.60,0.00,0.60,0.60,,,1
RNDP11,Títulos e Val Mob,147.99,73,0.33,0.21,1.26,3.48,9.70,0.42,0.58,0.81,0.74,1.62,1.83,2.37,20713235.06,192.72,0.77,0.43,0.00,0.43,0.43,,,0
KNRI11,Híbrido,136.00,22647,0.95,0.69,2.06,3.93,7.66,0.69,0.65,0.64,1.34,-1.78,-1.10,-0.46,3862362439.82,159.89,0.85,0.57,0.00,0.57,0.57,2.00,6.72,20
PLOG11,Logística,70.88,672,0.75,1.05,3.11,6.00,12.28,1.04,1.00,1.02,2.09,-1.07,-0.03,1.01,79769186.58,106.36,0.67,0.71,0.00,0.71,0.71,20.40,,1
VIUR11,Títulos e Val Mob,6.50,12028,0.07,1.11,3.04,5.83,11.65,1.01,0.97,0.97,2.13,-7.54,-6.51,-5.56,247505992.49,9.19,0.71,0.78,0.00,0.78,0.78,0.00,,6
RBHG11,Títulos e Val Mob,83.22,2735,1.05,1.25,3.70,7.60,16.10,1.23,1.27,1.34,2.44,-0.32,0.93,2.13,159833690.61,92.52,0.90,1.08,0.00,1.08,1.08,,,0
LUGG11,Residencial,72.41,184,0.58,0.79,2.24,4.33,8.55,0.75,0.72,0.71,1.53,-1.69,-0.91,-0.18,13293611.23,117.57,0.62,0.49,-0.58,-0.09,0.37,2.40,,4
TGAR11,Outros,116.22,21987,1.31,1.16,3.32,7.07,14.61,1.11,1.18,1.22,2.25,-4.87,-3.77,-2.72,1821734452.51,132.16,0.88,0.98,0.00,0.98,0.98,,,0
HLOG11,Logística,83.56,375,0.65,0.77,2.24,4.31,8.64,0.75,0.72,0.72,1.52,-2.49,-1.74,-1.00,494549459.45,116.36,0.72,0.56,0.00,0.56,0.56,58.00,0.00,3
JFLL11,Residencial,57.85,845,0.62,1.03,3.10,5.78,10.91,1.03,0.96,0.91,2.08,1.64,2.69,3.77,151606858.87,101.03,0.57,0.61,0.00,0.61,0.61,28.00,,2
PLRI11,Títulos e Val Mob,20.11,25,0.15,0.64,1.84,4.32,7.63,0.61,0.72,0.64,1.08,-3.52,-2.91,-2.48,3078960.58,32.26,0.62,0.34,0.00,0.34,0.34,,,0
CXTL11,Logística,390.00,1,1.65,0.40,0.87,1.87,3.16,0.29,0.31,0.26,0.78,5.46,5.88,6.29,25488675.98,475.56,0.82,0.32,0.00,0.32,0.32,61.00,,3
RRCI11,Títulos e Val Mob,84.09,144,1.05,1.25,3.31,6.78,15.43,1.10,1.13,1.29,2.29,-2.71,-1.49,-0.47,43697787.94,90.71,0.93,0.99,0.00,0.99,0.99,,,0
ATSA11,Shoppings,74.03,1,0.05,0.07,0.20,0.39,1.69,0.07,0.06,0.14,0.13,0.00,0.07,0.13,142803950.32,81.55,0.91,0.06,0.00,0.06,0.06,21.90,,1
RBRS11,Híbrido,56.51,4,0.40,0.75,2.38,4.57,9.16,0.79,0.76,0.76,1.49,-9.68,-9.00,-8.33,163159603.33,94.08,0.60,0.46,0.00,0.46,0.46,,,0
TEPP11,Lajes Corporativas,66.77,5471,0.50,0.75,2.22,4.09,8.24,0.74,0.68,0.69,1.46,-2.88,-2.16,-1.46,403454125.82,95.56,0.70,0.51,0.00,0.51,0.51,9.06,18.03,5
BPFF11,Títulos e Val Mob,60.35,4853,0.62,1.01,2.93,5.80,12.27,0.98,0.97,1.02,1.97,-5.14,-4.18,-3.27,322269846.68,71.74,0.84,0.86,0.00,0.86,0.86,,,0
PLCR11,Híbrido,83.89,5587,1.00,1.19,3.54,7.23,15.16,1.18,1.20,1.26,2.37,-0.34,0.84,2.03,191604396.10,90.84,0.92,1.10,-1.64,-0.56,9.06,,,0
SPVJ11,Outros,,,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,733831751.00,116.26,,0.58,0.00,0.58,0.58,,,0
MFAI11,Híbrido,56.98,623,0.57,1.00,3.12,5.91,11.64,1.04,0.98,0.97,2.00,-1.67,-0.69,0.30,21542500.83,68.16,0.84,,,,,,,0
KNIP11,Títulos e Val Mob,90.91,70735,0.91,1.00,3.13,4.38,12.19,1.04,0.73,1.02,2.11,0.63,1.64,2.76,7509519400.05,93.78,0.97,1.07,0.00,1.07,1.07,,,0
MALL11,Shoppings,99.00,10513,0.78,0.79,2.31,4.49,8.79,0.77,0.75,0.73,1.55,-4.69,-3.93,-3.20,194178737.27,119.91,0.83,,,,,4.00,,8
PVBI11,Lajes Corporativas,86.45,28262,0.61,0.71,2.04,3.83,7.47,0.68,0.64,0.62,1.43,0.88,1.60,2.33,140547991.88,103.65,0.83,0.55,4.63,5.20,8.21,0.10,,4
STRX11,Híbrido,22.96,3180000,0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,239120300.39,148.19,0.15,0.53,-0.08,0.45,1.04,,,0
BBFO11,Títulos e Val Mob,66.31,1665,0.73,1.11,3.22,5.85,12.50,1.07,0.98,1.04,2.26,-0.87,0.23,1.38,316997914.16,79.17,0.84,0.97,0.00,0.97,0.97,,,0
PLCA11,,97.78,369,1.10,1.15,3.45,0.00,0.00,1.15,0.00,0.00,2.30,1.05,2.21,3.39,,,,,,,,,,0
RNGO11,Lajes Corporativas,47.00,1789,0.43,0.91,2.70,5.31,10.23,0.90,0.88,0.85,1.82,-0.55,0.36,1.27,231716213.79,86.59,0.54,0.50,0.00,0.50,0.50,24.10,,3
VILG11,Logística,85.20,36975,0.53,0.61,2.03,4.05,8.34,0.68,0.68,0.70,1.33,-7.00,-6.44,-5.76,1680476898.92,112.05,0.76,0.60,0.00,0.60,0.60,0.00,,16
CACR11,Híbrido,104.23,2697,1.42,1.34,4.11,8.51,15.91,1.37,1.42,1.33,2.69,2.92,4.29,5.71,187613166.19,103.80,1.00,1.35,0.00,1.35,1.35,,,0
FPAB11,Lajes Corporativas,135.50,422,1.52,1.13,3.53,5.98,10.52,1.18,1.00,0.88,2.33,-1.46,-0.35,0.85,281400133.14,375.20,0.36,0.44,0.00,0.44,0.44,33.79,,1
RBVA11,Outros,91.00,3618,0.95,1.03,3.20,6.58,12.79,1.07,1.10,1.07,2.04,-2.76,-1.76,-0.77,1235324531.19,106.60,0.85,0.89,0.00,0.89,0.89,0.70,,72
HSAF11,Títulos e Val Mob,77.40,11923,0.90,1.15,3.30,6.37,13.64,1.10,1.06,1.14,2.28,-1.12,0.01,1.15,23072809.20,91.07,0.85,0.99,0.00,0.99,0.99,,,0
GTWR11,Lajes Corporativas,75.64,16348,0.79,1.06,3.12,5.85,11.73,1.04,0.98,0.98,2.13,-0.01,1.05,2.12,1136832641.35,94.74,0.80,0.83,0.00,0.83,0.83,0.00,0.00,1
MFII11,Híbrido,94.50,1679,1.10,1.17,3.50,6.90,13.67,1.17,1.15,1.14,2.30,-2.73,-1.60,-0.48,430508232.75,103.81,0.91,,,,,,,9
ARRI11,Títulos e Val Mob,9.14,54585,0.07,0.75,3.53,7.74,15.67,1.18,1.29,1.31,2.13,-1.27,-0.53,0.84,108250162.27,8.85,1.03,1.47,0.00,1.47,1.47,,,0
RBVO11,Outros,9.17,154,0.02,0.21,0.36,0.99,2.57,0.12,0.17,0.21,0.31,-3.88,-3.67,-3.58,882854.19,17.11,0.54,0.06,0.00,0.06,0.06,,,0
XPSF11,Outros,7.05,88916,0.08,1.09,3.13,6.21,11.98,1.04,1.03,1.00,2.12,-3.71,-2.67,-1.66,369792382.05,8.54,0.83,0.90,-4.04,-3.18,-89.40,,,0
HREC11,Títulos e Val Mob,75.03,3937,0.90,1.17,3.47,6.50,13.24,1.16,1.08,1.10,2.30,-2.46,-1.33,-0.20,455921879.22,88.41,0.85,1.02,0.00,1.02,1.02,,,0
VCRI11,,8.33,42630,0.11,1.29,3.90,7.87,0.00,1.30,1.31,0.00,2.53,-3.39,-2.14,-0.93,168271942.79,9.47,0.88,1.16,0.00,1.16,1.16,,,0
VSHO11,Shoppings,64.69,303,0.65,1.02,2.83,5.14,9.81,0.94,0.86,0.82,2.02,-2.02,-1.02,-0.03,208675763.86,99.43,0.65,0.65,0.00,0.65,0.65,12.96,,3
KCRE11,Renda,92.12,2042,0.87,0.93,2.82,0.00,0.00,0.94,0.00,0.00,2.13,4.06,5.03,6.29,350855789.03,97.46,0.95,1.11,0.00,1.11,1.11,,,0
RMAI11,Lajes Corporativas,48.00,20,0.26,0.53,1.46,3.17,7.57,0.49,0.53,0.63,1.03,-5.75,-5.25,-4.78,263485516.14,107.82,0.45,0.24,0.00,0.24,0.24,23.44,,1
RDPD11,Títulos e Val Mob,26.90,360,0.37,1.37,3.77,7.13,14.13,1.26,1.19,1.18,2.59,-3.50,-2.18,-0.99,30458260.17,28.25,0.95,1.20,0.00,1.20,1.20,,,0
LASC11,Shoppings,104.94,213,0.91,0.87,2.35,5.03,8.59,0.78,0.84,0.72,1.64,2.92,3.81,4.62,312550406.70,106.30,0.99,0.74,0.00,0.74,0.74,2.40,,3
VRTA11,Títulos e Val Mob,85.61,29544,0.95,1.06,3.22,6.30,13.55,1.07,1.05,1.13,2.21,2.61,3.70,4.89,1415905408.76,90.81,0.94,1.10,0.00,1.10,1.10,,,0
XPCA11,Títulos e Val Mob,9.84,161054,0.13,1.31,4.07,8.01,16.17,1.36,1.33,1.35,2.62,0.40,1.72,3.05,203824165.66,9.49,1.04,1.48,-0.14,1.34,12.47,,,0
KNHY11,Títulos e Val Mob,96.89,18055,1.08,1.10,3.46,5.26,12.79,1.15,0.88,1.07,2.49,2.40,3.53,4.96,181605470.21,98.21,0.99,1.35,0.00,1.35,1.35,,,0
NVIF11B,Outros,,,0.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,107134679.57,317.53,,0.14,0.00,0.14,0.14,,,0
HSRE11,Híbrido,102.46,52,0.63,0.61,1.84,3.71,7.21,0.61,0.62,0.60,1.23,0.58,1.19,1.81,821157862.30,96.40,1.06,0.65,0.00,0.65,0.65,0.00,,29
RZTR11,Híbrido,85.53,25911,0.85,1.01,2.81,6.48,13.77,0.94,1.08,1.15,1.95,-6.63,-5.69,-4.80,166113876.24,96.50,0.89,0.88,0.00,0.88,0.88,,,10
QAMI11,Híbrido,78.70,84,0.95,1.19,3.42,6.30,14.06,1.14,1.05,1.17,2.30,-1.98,-0.81,0.29,73333958.70,91.51,0.86,0.87,-1.61,-0.75,10.69,,,0
OUJP11,Títulos e Val Mob,95.43,19954,1.25,1.26,3.80,7.61,16.11,1.27,1.27,1.34,2.54,0.80,2.07,3.37,324547926.63,99.79,0.96,1.25,0.00,1.25,1.25,,,0
HGRE11,Lajes Corporativas,111.02,13283,0.78,0.69,2.27,3.99,7.54,0.76,0.67,0.63,1.37,0.02,0.70,1.39,1855205413.24,156.98,0.71,0.50,0.00,0.50,0.50,27.13,29.17,21
NSLU11,Hospital,166.85,441,1.51,0.91,2.76,5.03,9.42,0.92,0.84,0.79,1.86,0.33,1.25,2.21,251911778.36,194.78,0.86,0.77,0.05,0.82,3.11,0.00,,1
KFOF11,Títulos e Val Mob,77.95,7544,0.72,0.92,2.78,5.25,10.40,0.93,0.88,0.87,1.87,1.87,2.81,3.78,399581482.68,88.14,0.88,0.82,0.00,0.82,0.82,,,0
HGRU11,Híbrido,115.42,27585,0.85,0.74,3.07,5.04,9.74,1.02,0.84,0.81,1.43,-3.74,-3.02,-2.35,226007284.34,122.78,0.94,0.67,0.00,0.67,0.67,0.00,0.00,17
ITIT11,Títulos e Val Mob,73.41,579,0.58,0.78,2.36,4.51,9.15,0.79,0.75,0.76,1.63,-2.91,-2.16,-1.32,67150606.57,74.57,0.98,0.78,-1.96,-1.20,-0.34,,,0
XPCI11,Outros,80.29,24805,1.00,1.25,3.36,5.84,12.74,1.12,0.97,1.06,2.47,1.45,2.72,3.97,814711734.76,93.63,0.86,0.64,-1.97,-1.34,10.11,,,0
XPCM11,Lajes Corporativas,14.41,1276,0.12,0.82,3.09,5.81,11.76,1.03,0.97,0.98,1.49,-18.15,-17.48,-16.92,10577399.94,43.81,0.33,0.27,0.00,0.27,0.27,100.00,,1
XPPR11,Outros,26.64,18725,0.10,0.33,2.18,4.52,8.96,0.73,0.75,0.75,1.25,-7.34,-7.03,-6.18,545397975.50,74.55,0.36,0.40,0.00,0.40,0.40,46.00,0.00,4
BNFS11,Outros,119.17,338,1.35,1.11,3.41,7.09,14.19,1.14,1.18,1.18,2.19,-1.08,0.02,1.10,63975331.10,91.39,1.30,1.45,0.00,1.45,1.45,0.00,,18
ABCP11,Shoppings,64.15,729,0.50,0.77,2.34,4.49,9.00,0.78,0.75,0.75,1.53,-2.90,-2.15,-1.41,430917128.00,91.51,0.70,0.55,0.00,0.55,0.55,7.50,,1
BARI11,Títulos e Val Mob,80.40,8378,0.90,1.07,3.09,6.15,13.87,1.03,1.02,1.16,2.06,-8.06,-7.07,-6.16,441182476.84,95.20,0.84,0.95,0.00,0.95,0.95,,,0
JGPX11,Híbrido,96.85,657,1.13,1.17,3.87,7.44,14.57,1.29,1.24,1.21,2.53,-0.67,0.49,1.86,8158672.11,96.20,1.01,,,,,,,0
RBTS11,Outros,1121.00,20,17.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.44,61943113.63,195.85,1.02,0.46,0.00,0.46,0.46,,,0
HAAA11,Lajes Corporativas,65.78,7,0.47,0.67,1.97,3.89,7.49,0.66,0.65,0.62,1.26,-12.37,-11.78,-11.26,308451867.92,89.28,0.74,0.53,0.00,0.53,0.53,17.00,,1
ITIP11,Títulos e Val Mob,76.62,739,0.88,1.15,3.09,6.06,13.29,1.03,1.01,1.11,2.24,-0.95,0.18,1.28,58916480.43,78.75,0.97,1.12,-1.08,0.02,1.09,,,0
RSPD11,Residencial,10.02,103,8.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,17170236.81,1148.04,0.01,0.63,0.00,0.63,0.63,,,0
RSPD11,Residencial,10.02,20507,8.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,17170236.81,1148.04,0.01,0.63,0.00,0.63,0.63,,,0
RSPD11,Residencial,10.02,22773,8.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,17170236.81,1148.04,0.01,0.63,0.00,0.63,0.63,,,0
RSPD11,Residencial,10.03,42904,8.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,17170236.81,1148.04,0.01,0.63,0.00,0.63,0.63,,,0
RSPD11,Residencial,10.03,45627,8.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,17170236.81,1148.04,0.01,0.63,0.00,0.63,0.63,,,0
RSPD11,Residencial,10.03,25802,8.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,17170236.81,1148.04,0.01,0.63,0.00,0.63,0.63,,,0
RSPD11,Residencial,10.03,31960,8.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,17170236.81,1148.04,0.01,0.63,0.00,0.63,0.63,,,0
RSPD11,Residencial,10.05,31636,8.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,17170236.81,1148.04,0.01,0.63,0.00,0.63,0.63,,,0
RSPD11,Residencial,10.03,44516,8.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,17170236.81,1148.04,0.01,0.63,0.00,0.63,0.63,,,0
GESE11B,Outros,1520.00,300,14.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,92165204.01,1772.41,0.86,0.78,0.00,0.78,0.78,,,0
BICE11,Títulos e Val Mob,100.00,50,12.63,1.30,4.42,0.00,0.00,1.47,0.00,0.00,3.16,-1.12,0.17,2.03,69228822.25,971.25,1.03,1.89,0.00,1.89,1.89,,,0
EURO11,Logística,239.00,88,1.87,0.78,2.45,4.87,9.59,0.82,0.81,0.80,1.56,0.18,0.96,1.75,124835470.95,325.15,0.74,0.58,0.00,0.58,0.58,0.00,,6
KNSC11,Títulos e Val Mob,85.84,46601,0.87,1.00,3.27,5.31,12.08,1.09,0.88,1.01,2.19,-1.29,-0.30,0.88,116901887.90,88.06,0.97,1.18,0.00,1.18,1.18,,,0
RBFF11,Títulos e Val Mob,48.35,3441,0.49,0.96,2.89,5.70,11.21,0.96,0.95,0.93,1.93,0.30,1.26,2.24,239928753.34,63.99,0.76,0.80,-4.94,-4.19,6.43,,,0
FIGS11,Shoppings,46.81,2589,0.39,0.82,2.46,4.63,8.98,0.82,0.77,0.75,1.62,-1.75,-0.95,-0.15,217509161.41,76.32,0.61,0.51,0.00,0.51,0.51,13.70,,2
SDIL11,Logística,88.94,5629,0.83,0.92,2.68,5.23,10.24,0.89,0.87,0.85,1.82,-2.72,-1.82,-0.94,623975372.70,97.57,0.91,0.85,0.00,0.85,0.85,2.60,,5
GALG11,Híbrido,8.38,34408,0.08,0.95,2.72,5.30,10.44,0.91,0.88,0.87,1.84,-4.64,-3.73,-2.87,535708118.61,9.32,0.90,0.87,0.00,0.87,0.87,0.00,0.00,6
VJFD11,Híbrido,,,1.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,663648757.82,136.10,,0.75,0.00,0.75,0.75,,,0
FLRP11,Shoppings,1570.00,15,13.00,0.80,2.21,4.14,8.88,0.74,0.69,0.74,1.62,2.21,3.03,3.88,119166577.69,1826.81,0.86,0.71,0.00,0.71,0.71,2.01,,1
